split,image_relative_path,label_relative_path,image_file_name,label_file_name,image_extension,image_width,image_height,image_size_bytes,label_size_bytes,num_boxes,class_ids,average_box_width_norm,average_box_height_norm,average_box_area_norm,sha256_hash
train,datasets/uae_lp_v2_yolo/images/train/1-11071_jpg.rf.0YPT0TpQ6mD1niIxGu93.jpg,datasets/uae_lp_v2_yolo/labels/train/1-11071_jpg.rf.0YPT0TpQ6mD1niIxGu93.txt,1-11071_jpg.rf.0YPT0TpQ6mD1niIxGu93.jpg,1-11071_jpg.rf.0YPT0TpQ6mD1niIxGu93.txt,.jpg,1440,1280,177971,38,1,0,0.124306,0.092969,0.011556604513999999,880d659d9af88b2ea89ef896bfb6c3508cd712e8c1775942a05190e3ea34f55c
train,datasets/uae_lp_v2_yolo/images/train/1-114_jpg.rf.WltDkDTbb0eF4NZIMKLH.jpg,datasets/uae_lp_v2_yolo/labels/train/1-114_jpg.rf.WltDkDTbb0eF4NZIMKLH.txt,1-114_jpg.rf.WltDkDTbb0eF4NZIMKLH.jpg,1-114_jpg.rf.WltDkDTbb0eF4NZIMKLH.txt,.jpg,1440,1280,166193,38,1,0,0.103472,0.042969,0.004446088368,7de9f3a0693e2f9b5604963bba75081f4021a2ef54d17c770d2b04e65ce2da15
train,datasets/uae_lp_v2_yolo/images/train/1-13548_jpg.rf.sRttjB5ZOcflkVnE0oUM.jpg,datasets/uae_lp_v2_yolo/labels/train/1-13548_jpg.rf.sRttjB5ZOcflkVnE0oUM.txt,1-13548_jpg.rf.sRttjB5ZOcflkVnE0oUM.jpg,1-13548_jpg.rf.sRttjB5ZOcflkVnE0oUM.txt,.jpg,1440,1280,147669,76,2,0,0.079514,0.05,0.0045290875,6243eba043bb6f6f62ceee2c9f66d1692d0465d6b371568996f800dfb8984407
train,datasets/uae_lp_v2_yolo/images/train/1-150_jpg.rf.TUKqCxbrJ9xCCqmmlxCY.jpg,datasets/uae_lp_v2_yolo/labels/train/1-150_jpg.rf.TUKqCxbrJ9xCCqmmlxCY.txt,1-150_jpg.rf.TUKqCxbrJ9xCCqmmlxCY.jpg,1-150_jpg.rf.TUKqCxbrJ9xCCqmmlxCY.txt,.jpg,1440,1280,188217,38,1,0,0.1125,0.077344,0.0087012,d1c48039854ebb22e3b2f4f0d207b912fd3f64afc8603aa7af61394de4cf1528
train,datasets/uae_lp_v2_yolo/images/train/1-15242_jpg.rf.EiQNfr5QzmLi50qFFqlu.jpg,datasets/uae_lp_v2_yolo/labels/train/1-15242_jpg.rf.EiQNfr5QzmLi50qFFqlu.txt,1-15242_jpg.rf.EiQNfr5QzmLi50qFFqlu.jpg,1-15242_jpg.rf.EiQNfr5QzmLi50qFFqlu.txt,.jpg,1440,1280,178109,76,2,0,0.0666665,0.0621095,0.005544455599,e24a350e253dfd3d5915e2b312d53101fdebe2e5a66902418ead2a731238c995
train,datasets/uae_lp_v2_yolo/images/train/1-16945_jpg.rf.WO8l27FqtFWh3X2PvwhK.jpg,datasets/uae_lp_v2_yolo/labels/train/1-16945_jpg.rf.WO8l27FqtFWh3X2PvwhK.txt,1-16945_jpg.rf.WO8l27FqtFWh3X2PvwhK.jpg,1-16945_jpg.rf.WO8l27FqtFWh3X2PvwhK.txt,.jpg,1440,1280,154973,38,1,0,0.093056,0.105469,0.009814523264,94e4bd030bfac9da8ac0459dc1c7fa3545bc5700d0dca6689bd99124925b2e39
train,datasets/uae_lp_v2_yolo/images/train/1-17106_jpg.rf.lT6VUCTatgVDWgSNcxHe.jpg,datasets/uae_lp_v2_yolo/labels/train/1-17106_jpg.rf.lT6VUCTatgVDWgSNcxHe.txt,1-17106_jpg.rf.lT6VUCTatgVDWgSNcxHe.jpg,1-17106_jpg.rf.lT6VUCTatgVDWgSNcxHe.txt,.jpg,1440,1280,134176,38,1,0,0.070833,0.044531,0.003154264323,a34ce014737d87d513a2b65d50de0338e28512f55a12b74641296b893507ad4e
train,datasets/uae_lp_v2_yolo/images/train/1-19414_jpg.rf.Ejk43woaWLgMztTHfcMI.jpg,datasets/uae_lp_v2_yolo/labels/train/1-19414_jpg.rf.Ejk43woaWLgMztTHfcMI.txt,1-19414_jpg.rf.Ejk43woaWLgMztTHfcMI.jpg,1-19414_jpg.rf.Ejk43woaWLgMztTHfcMI.txt,.jpg,1440,1280,150048,38,1,0,0.175694,0.079687,0.014000527777999998,7e238b0c90e340abddf8e23cbf29fddc2fe7525dcb47eaad01a9cbdf9ef4d98c
train,datasets/uae_lp_v2_yolo/images/train/1-20202_jpg.rf.CFJbpyypYYIAisg2A0xg.jpg,datasets/uae_lp_v2_yolo/labels/train/1-20202_jpg.rf.CFJbpyypYYIAisg2A0xg.txt,1-20202_jpg.rf.CFJbpyypYYIAisg2A0xg.jpg,1-20202_jpg.rf.CFJbpyypYYIAisg2A0xg.txt,.jpg,1440,1280,166523,38,1,0,0.150694,0.076563,0.011537584722,7b5252711f205ed023effadf2594571232549b2631c065feab42a18233da3853
train,datasets/uae_lp_v2_yolo/images/train/1-203_jpg.rf.S6Ce4tgum85YXveTGPhz.jpg,datasets/uae_lp_v2_yolo/labels/train/1-203_jpg.rf.S6Ce4tgum85YXveTGPhz.txt,1-203_jpg.rf.S6Ce4tgum85YXveTGPhz.jpg,1-203_jpg.rf.S6Ce4tgum85YXveTGPhz.txt,.jpg,1440,1280,158299,38,1,0,0.173611,0.0875,0.015190962499999999,da922dca596bacf7565c39b81cc45ed1ace5dffac9ae3d40bc0094a6e3f56def
